code,x,y,t,z,tmp,uwind,vwind,wind,hum,prec
4,127.0925,37.5472,13,46,0.128847965,0.961618699,-1.91451345,1.035454689,63.19603049,0.051809197
4,127.0925,37.5472,14,49,0.453639277,1.250794189,-1.495120165,1.033820597,61.24028046,0.026399291
4,127.0925,37.5472,15,48,0.640985572,1.058525604,-1.488589865,0.92597428,59.11005644,0.013966159
4,127.0925,37.5472,16,45,0.751046759,0.847207099,-1.449586566,0.870385154,57.70552156,0.007450792
4,127.0925,37.5472,17,47,0.387791334,0.753639168,-1.162729239,0.668432957,59.22778363,0.004700162
4,127.0925,37.5472,18,48,-0.358848816,0.419952888,-1.22495179,0.421310951,62.72560869,0.005380033
4,127.0925,37.5472,19,50,-0.843479314,0.218173595,-0.709802813,0.179929833,66.64117825,0.005240177
4,127.0925,37.5472,20,49,-1.042267696,0.374473502,-0.6994676,0.270443913,69.59447089,0.007717616
4,127.0925,37.5472,21,51,-1.062602648,0.069979229,-0.897602379,0.261850572,69.79307569,0.008086568
4,127.0925,37.5472,22,52,-1.44525203,0.176610091,-1.124519839,0.336304719,73.28681861,0.007841029
4,127.0925,37.5472,23,56,-1.562128263,0.224169568,-0.864895296,0.249197818,74.00685935,0.007799272
4,127.0925,37.5472,24,56,-1.949756974,0.104586472,-0.776275137,0.291200612,73.44484863,0.008807967
5,127.0494,37.5419,1,20,0.429708384,0.144057511,-1.575580292,0.641451561,78.74457845,0.042509376
5,127.0494,37.5419,2,17,-0.179901551,0.211222321,-1.395399098,0.484148577,69.60549507,0.038815523
5,127.0494,37.5419,3,11,-0.234387188,0.332058404,-1.321767136,0.530717424,67.62272754,0.02024473
5,127.0494,37.5419,4,9,-1.519245874,-0.018115998,-0.78339707,0.3073133,82.92484686,0.049956392
5,127.0494,37.5419,5,7,-1.790826752,0.046495483,-0.271650654,-0.171987355,87.45588554,0.119500612
5,127.0494,37.5419,6,7,-1.67729691,-0.037495236,-0.780471918,0.209458951,88.2547169,0.080572975
5,127.0494,37.5419,7,11,-1.572743266,0.137355253,-1.270007106,0.531754683,83.49024078,0.080950818
5,127.0494,37.5419,8,11,-2.075426613,0.394314272,-1.188541912,0.386300632,81.3379486,0.048011192
5,127.0494,37.5419,9,16,-1.36408438,0.301773815,-1.132020043,0.427671026,77.84197241,0.041964073
5,127.0494,37.5419,10,21,-0.846657254,0.268729796,-1.510628123,0.704240745,71.86442447,0.038812056
5,127.0494,37.5419,11,32,-0.414644213,0.508457728,-1.828420411,0.933826341,68.92821307,0.045237614
5,127.0494,37.5419,12,37,0.187343195,1.294129859,-1.486714004,1.036025102,64.76468483,0.061191914
5,127.0494,37.5419,13,43,0.084207032,1.04127451,-1.965539047,1.06151557,64.17043635,0.051184873
5,127.0494,37.5419,14,44,0.410616884,1.319970458,-1.546507832,1.055212017,62.16809057,0.025981725
5,127.0494,37.5419,15,47,0.586521888,1.111465055,-1.61888097,0.95698094,59.95904479,0.013808278
5,127.0494,37.5419,16,43,0.763194041,0.844673286,-1.444281218,0.897439553,58.46938207,0.007350284
5,127.0494,37.5419,17,43,0.393697974,0.718491305,-1.218267672,0.695091091,60.19153115,0.004697918
5,127.0494,37.5419,18,45,-0.352017325,0.374934348,-1.267248323,0.449331196,63.6668093,0.0053445
5,127.0494,37.5419,19,43,-0.860777044,0.20837548,-0.645094634,0.209416288,67.6989111,0.005275401
5,127.0494,37.5419,20,47,-0.947429072,0.383692837,-0.802787067,0.330449812,70.27122942,0.007666591
5,127.0494,37.5419,21,49,-1.049339125,0.107517382,-1.013194737,0.314713976,70.68451974,0.008079867
5,127.0494,37.5419,22,49,-1.39809393,0.179963335,-1.189473067,0.373048139,73.8631127,0.00790957
5,127.0494,37.5419,23,48,-1.606500095,0.21431931,-0.912219601,0.297209242,74.33804286,0.007934525
5,127.0494,37.5419,24,47,-2.037818328,0.051483389,-0.729045005,0.331045682,74.08144468,0.008944865
6,127.094,37.5849,1,26,0.462005453,0.247156228,-1.520632699,0.587500051,80.14221802,0.042058785
6,127.094,37.5849,2,21,-0.127925008,0.292652038,-1.430594135,0.479301277,70.16237245,0.039148965
6,127.094,37.5849,3,13,-0.248999484,0.432857831,-1.167984318,0.475827884,67.6221273,0.020415829
6,127.094,37.5849,4,10,-1.446066977,-0.006190097,-0.872423722,0.339804738,81.58961545,0.049744111
6,127.094,37.5849,5,12,-1.791777566,0.042691671,-0.283242749,-0.196152297,87.742684,0.118588819
6,127.094,37.5849,6,7,-1.802335646,-0.018797619,-0.651307131,0.110179939,88.40423959,0.080156017
6,127.094,37.5849,7,9,-1.638837376,0.185952257,-1.158392095,0.447324698,84.34835662,0.079984913
6,127.094,37.5849,8,13,-2.145995276,0.393508325,-1.200520678,0.360561247,81.53909893,0.047781373
6,127.094,37.5849,9,19,-1.408545733,0.282465058,-1.037311119,0.358228724,78.12746274,0.041643834
6,127.094,37.5849,10,23,-0.795926806,0.361874337,-1.474243744,0.685875813,71.78010906,0.038259871
6,127.094,37.5849,11,31,-0.33272788,0.506006562,-1.881949243,0.912997225,67.82324769,0.044864247
6,127.094,37.5849,12,37,0.23875237,1.215566418,-1.850297054,1.019288665,63.32243239,0.060703268
6,127.094,37.5849,13,50,0.156893253,1.013471396,-2.005560648,1.031505225,62.86449763,0.051729371
6,127.094,37.5849,14,51,0.461130696,1.323249423,-1.690961139,1.036406507,60.93440019,0.026211722
6,127.094,37.5849,15,48,0.639409949,1.065074913,-1.712011548,0.932120398,58.97933256,0.014006719
6,127.094,37.5849,16,48,0.735970543,0.930738804,-1.574794527,0.868484905,57.60737422,0.007464788
6,127.094,37.5849,17,48,0.361355965,0.825648093,-1.218327382,0.674694152,58.87467722,0.004708647
6,127.094,37.5849,18,46,-0.416213173,0.493340466,-1.274796324,0.411660875,62.51386278,0.00543425
6,127.094,37.5849,19,46,-0.986258854,0.278313363,-0.74323203,0.168059095,66.66822737,0.005241823
6,127.094,37.5849,20,49,-1.210079614,0.468534917,-0.578897003,0.254346625,70.12831977,0.007754541
6,127.094,37.5849,21,51,-1.276456706,0.163081284,-0.86611958,0.26181035,70.5427144,0.008086362
6,127.094,37.5849,22,53,-1.705749637,0.241440809,-1.081042626,0.311919519,74.21683924,0.007785818
6,127.094,37.5849,23,55,-1.745196171,0.308933905,-0.780400398,0.22421772,74.64562551,0.007694045
6,127.094,37.5849,24,56,-2.073543261,0.190426499,-0.82670841,0.281195989,73.97086676,0.008688989
7,127.0289,37.5758,1,25,0.288808029,0.248108621,-1.738827216,0.640186393,79.71701129,0.042244275
7,127.0289,37.5758,2,18,-0.331110441,0.32942685,-1.494979707,0.464696086,70.78894286,0.038946853
7,127.0289,37.5758,3,12,-0.392105942,0.434488483,-1.26536491,0.508819635,68.96133704,0.020415104
7,127.0289,37.5758,4,9,-1.511412086,0.135636521,-0.856930796,0.309951175,82.86387736,0.05067793
7,127.0289,37.5758,5,11,-1.785576115,0.132922174,-0.372031009,-0.154195406,87.27611597,0.120089502
7,127.0289,37.5758,6,7,-1.701293529,0.060116245,-0.722464635,0.212283808,88.10221238,0.080362692
7,127.0289,37.5758,7,11,-1.664348384,0.296180478,-1.232068353,0.502143964,83.86309315,0.080132322
7,127.0289,37.5758,8,12,-2.134569232,0.557678778,-1.252081435,0.382848071,81.83175941,0.047246654
7,127.0289,37.5758,9,17,-1.414007846,0.412140842,-1.27642433,0.389695727,78.11052975,0.041486554
7,127.0289,37.5758,10,20,-0.827319556,0.417554536,-1.607322608,0.691859836,72.05342084,0.038083053
7,127.0289,37.5758,11,29,-0.359986403,0.699687661,-2.024486693,0.947453128,68.74744537,0.045106981
7,127.0289,37.5758,12,35,0.141358108,1.437385591,-1.763046203,1.043732204,65.19753689,0.060750221
7,127.0289,37.5758,13,42,0.099508353,1.193702819,-2.090717312,1.065916402,64.24679331,0.05075484
7,127.0289,37.5758,14,45,0.406811385,1.460825712,-1.861078171,1.06914021,62.27059988,0.025610009
7,127.0289,37.5758,15,46,0.56870035,1.191498151,-1.952531389,0.976296156,60.3502126,0.013759263
7,127.0289,37.5758,16,43,0.726194738,0.999200805,-1.775476298,0.917040948,58.85288595,0.007315055
7,127.0289,37.5758,17,46,0.34650353,0.832190991,-1.313000122,0.714296377,60.4078583,0.004706675
7,127.0289,37.5758,18,46,-0.437262865,0.490391382,-1.25056343,0.443284619,63.8740279,0.00537836
7,127.0289,37.5758,19,48,-1.049164327,0.334074088,-0.659155476,0.210418623,68.17656823,0.005292805
7,127.0289,37.5758,20,46,-1.1112576,0.567261148,-0.739290475,0.331008072,71.00599752,0.007673889
7,127.0289,37.5758,21,49,-1.279918694,0.254233872,-0.994078498,0.32480717,71.90555436,0.008072418
7,127.0289,37.5758,22,50,-1.634634959,0.29857724,-1.180223362,0.349982431,74.74383138,0.007885536
7,127.0289,37.5758,23,50,-1.803590238,0.367301944,-0.898415758,0.277793123,74.79713795,0.007894487
7,127.0289,37.5758,24,51,-2.173363073,0.176813284,-0.842821431,0.332107835,74.54087776,0.008891304
8,127.0273,37.6067,1,24,0.323910445,0.335682351,-1.885406207,0.63322655,80.36069645,0.042016217
8,127.0273,37.6067,2,16,-0.300351983,0.430471974,-1.600987411,0.456279392,71.55804658,0.03914672
8,127.0273,37.6067,3,13,-0.373397203,0.496154205,-1.243645156,0.479429722,69.55618488,0.020576516
8,127.0273,37.6067,4,9,-1.379056011,0.257801371,-1.006857553,0.317519351,82.23395861,0.050941329
8,127.0273,37.6067,5,7,-1.698316061,0.194154717,-0.445084559,-0.138045242,86.84329115,0.119988881
8,127.0273,37.6067,6,9,-1.682279408,0.127890763,-0.702665469,0.189862811,87.70976394,0.079996829
8,127.0273,37.6067,7,10,-1.649699612,0.396570784,-1.196190077,0.461596709,83.87346334,0.079415897
8,127.0273,37.6067,8,17,-2.108285585,0.663091434,-1.37820239,0.373955597,81.61558178,0.046782764
8,127.0273,37.6067,9,24,-1.410286317,0.488116822,-1.359292518,0.34582667,78.08980638,0.041155997
8,127.0273,37.6067,10,25,-0.75059272,0.538758454,-1.691800187,0.67280847,72.17922783,0.037561685
8,127.0273,37.6067,11,31,-0.245308482,0.808387547,-2.224869566,0.949979226,68.43341699,0.044956705
8,127.0273,37.6067,12,36,0.191603471,1.499831543,-2.028141725,1.050276389,65.1549828,0.06035211
8,127.0273,37.6067,13,41,0.178338594,1.268095835,-2.114938646,1.059923324,64.08569544,0.050632732
8,127.0273,37.6067,14,45,0.45596861,1.55335047,-2.086223077,1.074059856,62.25350099,0.025461106
8,127.0273,37.6067,15,40,0.616098189,1.247078466,-2.139618219,0.986414242,60.68920981,0.013789696
8,127.0273,37.6067,16,47,0.751206997,1.125564233,-1.851135662,0.923582949,59.08146929,0.0073253
8,127.0273,37.6067,17,46,0.3711727,0.930117065,-1.330761042,0.722968896,60.31161334,0.004719976
8,127.0273,37.6067,18,41,-0.433941168,0.602204791,-1.171648899,0.428878652,63.85164377,0.005426787
8,127.0273,37.6067,19,49,-1.119754406,0.410378954,-0.653313693,0.203069199,68.34872421,0.005302141
8,127.0273,37.6067,20,45,-1.216482076,0.675864057,-0.671324582,0.306697572,71.42638458,0.007708523
8,127.0273,37.6067,21,45,-1.40906255,0.350107327,-0.933667184,0.305781341,72.71278454,0.008079349
8,127.0273,37.6067,22,51,-1.802715586,0.365477547,-1.145590292,0.312100277,75.32812711,0.007851589
8,127.0273,37.6067,23,52,-1.903180502,0.478134145,-0.844707039,0.23891026,74.96782071,0.007823355
8,127.0273,37.6067,24,50,-2.230525594,0.295583267,-0.934317934,0.323146267,74.76366235,0.008809546
9,127.029,37.6542,1,19,0.282819721,0.423338236,-2.107647272,0.60539765,81.37026934,0.041743579
9,127.029,37.6542,2,18,-0.352753342,0.510958433,-1.784669187,0.439403692,73.19768157,0.039530605
9,127.029,37.6542,3,10,-0.42543516,0.52723543,-1.22713952,0.424966278,70.97769728,0.02085459
9,127.029,37.6542,4,8,-1.295183144,0.377533019,-1.196813359,0.318556187,82.04789543,0.051231954
9,127.029,37.6542,5,13,-1.670127528,0.211504463,-0.510843352,-0.11532092,86.69060573,0.119164962
9,127.029,37.6542,6,8,-1.774038469,0.203669534,-0.784205925,0.145293889,87.70011957,0.079219891
9,127.029,37.6542,7,11,-1.743793237,0.47185378,-1.183169465,0.383682033,84.58625603,0.078306788
9,127.029,37.6542,8,17,-2.21219968,0.774863086,-1.526893054,0.34590019,82.06073694,0.046185212
9,127.029,37.6542,9,24,-1.54320573,0.549325972,-1.423438777,0.275337275,78.85072409,0.040628481
9,127.029,37.6542,10,25,-0.748161553,0.646707116,-1.818156264,0.632664246,72.92816999,0.036856625
9,127.029,37.6542,11,31,-0.176024271,0.901548842,-2.358279295,0.933794892,68.50377667,0.04472342
9,127.029,37.6542,12,39,0.179141796,1.486413263,-2.337274763,1.056361133,65.3998417,0.059727692
9,127.029,37.6542,13,47,0.238853161,1.307235316,-2.11339955,1.048532145,64.09402081,0.05052129
9,127.029,37.6542,14,46,0.472606858,1.626385497,-2.267806267,1.072814057,62.59358968,0.025304285
9,127.029,37.6542,15,43,0.660977556,1.250402349,-2.323069908,0.996813059,61.31602404,0.013871409
9,127.029,37.6542,16,44,0.782767741,1.196659513,-1.928811253,0.922929869,59.62833168,0.0073567
9,127.029,37.6542,17,45,0.375231078,1.011050171,-1.522540159,0.734551333,60.48004673,0.004750448
9,127.029,37.6542,18,50,-0.502738605,0.692193053,-1.086639308,0.40534082,64.40360489,0.005517385
9,127.029,37.6542,19,51,-1.346072554,0.422714957,-0.665452492,0.193333762,69.49581005,0.005326922
9,127.029,37.6542,20,47,-1.513411988,0.722676212,-0.670076956,0.253263698,72.81671012,0.007785585
9,127.029,37.6542,21,51,-1.777846353,0.464625916,-0.8660134,0.255778034,74.69990872,0.008111322
9,127.029,37.6542,22,55,-2.235811643,0.393486505,-1.087435078,0.245209275,76.80157864,0.007814466
9,127.029,37.6542,23,55,-2.235296691,0.558736546,-0.821566323,0.177149473,76.08111727,0.007723836
9,127.029,37.6542,24,49,-2.526706594,0.408511349,-1.006077348,0.297783858,75.97275785,0.008696391
10,126.9348,37.6098,1,23,-0.253566647,0.321407702,-1.416589995,0.559024221,78.80611863,0.042244907
10,126.9348,37.6098,2,19,-0.947923395,0.303015217,-0.902220874,0.271042752,73.26773173,0.039119427
10,126.9348,37.6098,3,12,-0.874292254,0.27539899,-1.03878125,0.391712807,73.12101848,0.02077403
10,126.9348,37.6098,4,10,-1.599133112,0.333386806,-0.676926054,0.164449963,82.59294503,0.052163144
10,126.9348,37.6098,5,11,-2.031133864,0.164353801,-0.155628948,-0.166804674,84.94418766,0.119853921
10,126.9348,37.6098,6,12,-1.874746629,0.110055794,-0.605941187,0.228315007,85.9636293,0.079276417
10,126.9348,37.6098,7,13,-2.086857926,0.345231591,-0.769304135,0.381365021,82.90158662,0.078461683
10,126.9348,37.6098,8,16,-2.522006719,0.569282455,-0.963515795,0.256396957,81.48839791,0.046042786
10,126.9348,37.6098,9,20,-1.77812698,0.50207618,-1.103837266,0.187692327,78.42374564,0.040652864
10,126.9348,37.6098,10,28,-1.00535459,0.597340617,-1.406951096,0.577421663,73.3557086,0.037218704
10,126.9348,37.6098,11,32,-0.339726992,1.000359538,-2.210428276,0.948687595,69.63122753,0.045400756
10,126.9348,37.6098,12,45,0.076786676,1.508070479,-1.877675913,1.036633688,66.80981151,0.06037317
10,126.9348,37.6098,13,48,0.119148295,1.336285454,-1.77382143,1.061870292,65.3797126,0.049327221
10,126.9348,37.6098,14,53,0.424334333,1.461978287,-1.979983148,1.078166605,63.55859203,0.024733057
10,126.9348,37.6098,15,48,0.615470868,1.212891088,-1.808426237,0.982082516,62.63804622,0.013494261
10,126.9348,37.6098,16,48,0.679243442,1.02427717,-1.714325348,0.935929077,61.49510037,0.007174813
10,126.9348,37.6098,17,47,0.249448765,0.921239908,-1.083121298,0.730362521,62.89741422,0.004759929
10,126.9348,37.6098,18,50,-0.756675415,0.500810464,-0.820809408,0.407457316,66.04846055,0.005413005
10,126.9348,37.6098,19,50,-1.508688457,0.341266389,-0.752771573,0.221330566,70.12483507,0.005404373
10,126.9348,37.6098,20,58,-1.401064871,0.587675083,-1.052414277,0.310762117,72.4310221,0.00766095
10,126.9348,37.6098,21,57,-1.937217908,0.371507937,-0.948553515,0.276736902,74.43913952,0.008103676
10,126.9348,37.6098,22,55,-2.306110515,0.376326375,-1.026862635,0.230099453,75.52347305,0.007999337
10,126.9348,37.6098,23,56,-2.506887906,0.402687282,-0.9573294,0.172779906,75.34377985,0.008080556
10,126.9348,37.6098,24,54,-2.891823884,0.210603499,-0.876728606,0.289856892,75.59665658,0.009065772
11,126.9497,37.5938,1,30,-0.181049802,0.279441004,-1.51674677,0.583071095,79.10385384,0.042309252
11,126.9497,37.5938,2,14,-0.843611213,0.288823009,-1.03490292,0.319664235,72.75347292,0.039000725
11,126.9497,37.5938,3,13,-0.832212534,0.280866721,-1.130134726,0.43320718,72.50463151,0.020650487
11,126.9497,37.5938,4,13,-1.635390783,0.306187299,-0.733484471,0.199408153,83.214009,0.051924408
11,126.9497,37.5938,5,8,-2.019800195,0.150132681,-0.220679149,-0.163437669,85.85681351,0.120186606
11,126.9497,37.5938,6,10,-1.856223882,0.092288609,-0.66038122,0.246060699,86.82036852,0.079674922
11,126.9497,37.5938,7,14,-2.019643994,0.330491824,-0.892554046,0.425627174,83.37549209,0.079014553
11,126.9497,37.5938,8,14,-2.459415185,0.566209134,-1.04452433,0.294109857,81.99043284,0.046340877
11,126.9497,37.5938,9,17,-1.711271057,0.488668724,-1.215468445,0.25544499,78.54370044,0.040905172
11,126.9497,37.5938,10,24,-1.01730689,0.555954388,-1.466340696,0.614222361,73.21248684,0.037495583
11,126.9497,37.5938,11,35,-0.403622054,0.945825691,-2.283004626,0.954907511,69.735795,0.0453831
11,126.9497,37.5938,12,35,0.034511287,1.500877697,-1.896799309,1.039016466,66.83789225,0.060572145
11,126.9497,37.5938,13,48,0.057874678,1.29163137,-1.796434436,1.067165173,65.43930958,0.049581342
11,126.9497,37.5938,14,51,0.356897773,1.417786411,-1.901692204,1.078327027,63.60364931,0.024892751
11,126.9497,37.5938,15,44,0.554815848,1.177424428,-1.808799744,0.983422578,62.29816987,0.013520219
11,126.9497,37.5938,16,44,0.652122689,0.987049766,-1.679396366,0.933719614,61.05850619,0.007185727
11,126.9497,37.5938,17,46,0.224435619,0.871047242,-1.068777198,0.726908062,62.70112175,0.00474238
11,126.9497,37.5938,18,52,-0.721093799,0.485953644,-0.869365088,0.422766507,65.87458729,0.005386283
11,126.9497,37.5938,19,50,-1.440819391,0.339341134,-0.736379635,0.231785708,69.99649844,0.005380625
11,126.9497,37.5938,20,50,-1.334461169,0.589818927,-1.103542645,0.334878542,72.35563238,0.007645453
11,126.9497,37.5938,21,57,-1.799834596,0.344799001,-1.051312812,0.304697607,74.18922239,0.008091638
